phi,ani_angle,ani_ratio,convergence
1.62203730602911,2.65194069948396,1.878852713332,0
1.64959923667997,2.76910811997146,2.02104229503994,0
0.425558599915358,1.03871834470755,1.92827962650838,0
0.462232124629194,1.01507764708135,1.7558154905641,0
0.497330690699611,0.967186501064597,1.6377085682451,0
0.525494192810307,0.915824990731651,1.59233427107933,0
0.553783300945163,0.861137831325133,1.52857634489801,0
0.58195863982943,0.799084792399882,1.45301344148215,0
0.748190816897694,0.128187789294137,1.22899563731751,0
0.881326993627761,3.09706522017399,1.22146508195909,0
0.970850529640081,2.9079529902596,1.3675619163557,0
1.22747190232365,2.69780289857628,1.39663462740719,0
1.48125813994309,2.64017247020479,1.40672609400541,0
1.65360848069416,2.44378870842001,1.3123989238915,0
1.70800807313988,2.4614320718602,1.30508190238789,0
1.71396406253193,2.47693008954004,1.27424424473664,0
1.69215214616046,2.3956364111952,1.24205685197051,0
1.6600272088995,2.26744376288852,1.19891666011722,0
1.68178699132022,2.48699971824536,1.11296336469835,0
1.72925517267317,3.0101457687362,1.09835737344912,0
1.74975143530004,0.382264219388506,1.31661985158644,0
1.94673779462579,1.01919553842265,1.38474820519242,0
2.02925145286768,1.00004394377355,1.40325871596085,0
2.2005921623745,0.998242438173512,1.36980790798321,0
2.25554898796139,1.11269182360002,1.31814984958076,0
1.40218997655963,0.0142614795973577,3.85201859144715,0
1.42425577688144,0.00592739787098191,3.63140588681722,0
1.42425577688144,0.00592739787098191,3.63140588681722,0
1.42425577688144,0.00592739787098191,3.63140588681722,0
1.43532826100605,3.13579794132081,3.30025400989218,0
1.46639505008865,3.13825042689539,2.42384450506456,0
1.47174971467417,3.12807297818334,2.0632223814609,0
1.61007793546535,2.72604630293119,2.14226386992795,0
0.420891654796406,0.993485796525153,2.10431161068581,0
0.459169924547149,0.96613535662807,1.87597265997382,0
0.493304663196206,0.917195383232118,1.75580763090943,0
0.521031804017501,0.86860143021347,1.70867037835816,0
0.548607165350505,0.815904859619628,1.6439437690723,0
0.576901468009687,0.75429761428916,1.55644018033175,0
0.753407809076448,0.226525757312148,1.25037809519659,0
0.87632814360281,2.96045432083484,1.25633242741411,0
0.968699472914461,2.90468378997241,1.40323750406206,0
1.19572434000146,2.78116344500647,1.46215352283056,0
1.44312408010794,2.7208471235568,1.45402705444039,0
1.62193103200325,2.54877892953592,1.33523056430752,0
1.66529067459661,2.56826442553752,1.33282202896665,0
1.66257718424172,2.58733661531469,1.30913286885339,0
1.63541932764596,2.53907467587913,1.27060783205122,0
1.59978066011468,2.45777110075664,1.21702739578477,0
1.59550761259222,2.71489348675317,1.18773418854993,0
1.46010250224685,0.0248431937646326,3.90209636876618,0
1.32409054635906,0.0201620993631817,4.32712161895234,0
1.34645815222367,0.0122670792169726,4.05365479775411,0
1.34645815222367,0.0122670792169726,4.05365479775411,0
1.34645815222367,0.0122670792169726,4.05365479775411,0
1.34054311891816,3.12993214472302,3.49092822648646,0
0.438871760180814,0.915921663786,2.04674617650656,0
0.478731608701831,0.879190700466597,1.80906367409423,0
0.512682533833587,0.820733150067193,1.70539581466853,0
0.539937243994489,0.767146216085782,1.67387183527757,0
0.566599397589843,0.707450588956774,1.628125391087,0
0.592808989372976,0.638344588787274,1.56960482954119,0
0.777173519278054,0.0563161108562149,1.27732370603968,0
0.89005813294142,3.0546369207175,1.26393101725283,0
0.982546961539749,2.94916686932068,1.37980366418652,0
1.18208157976083,2.82084625640936,1.47929656328125,0
1.41835804885916,2.78236771571898,1.47061955854625,0
1.58833357742944,2.65528415619146,1.32865296689851,0
1.61601966383671,2.6627316136139,1.33932063558659,0
1.60454582113467,2.67546249279013,1.3189392422547,0
1.57137802989189,2.64146020189803,1.28140167395615,0
1.53106303766953,2.58491908478158,1.23124346057378,0
1.46644078152016,0.0156907408683178,3.8494929585458,0
1.32681880322207,0.015231919014323,4.26763434533788,0
1.34799683062701,0.00742753567921662,4.01409448173976,0
1.34799683062701,0.00742753567921662,4.01409448173976,0
1.34799683062701,0.00742753567921662,4.01409448173976,0
1.34799683062701,0.00742753567921662,4.01409448173976,0
0.423109916036053,0.896170113180738,2.7983846321939,52
0.464584909050113,0.859697384932335,2.36868128176717,0
0.497459768904005,0.815301725170338,2.22388214061792,0
0.524394550638491,0.776861706565229,2.1666784577187,0
0.551628953038338,0.731852605524515,2.07990074225573,0
0.579336832902156,0.678139194462677,1.96577179413522,0
0.792524831039498,0.179380919635164,1.33154679021277,0
0.903133266896777,3.03726898177931,1.28002325405039,0
0.988336750472981,2.91402835732923,1.40395195770177,0
1.17265500464306,2.90331837761334,1.46936394445738,0
1.39290177406035,2.84971969095493,1.46413813922381,0
1.54982181273537,2.73133853313383,1.30235060169685,0
1.5685577954625,2.71032076395055,1.31018399748394,0
1.54694296007199,2.71916486374278,1.30101515820434,0
1.4554397802273,0.00768706174757719,3.91591759024845,0
1.33842617741896,0.0103792444778012,4.15135289960154,0
1.36009954736282,0.00406864991018364,3.90138445238118,0
1.36009954736282,0.00406864991018364,3.90138445238118,0
1.36009954736282,0.00406864991018364,3.90138445238118,0
1.36009954736282,0.00406864991018364,3.90138445238118,0
0.490030729354192,0.811379941685055,1.78014896031433,0
0.525531312530807,0.769125285569927,1.66613471573011,0
0.558666555159226,0.696486156378284,1.61234154809855,0
0.584598480143757,0.638941012860226,1.61763155016323,0
0.610165440104847,0.572049083485111,1.60454742678685,0
0.634575661131077,0.49831958789666,1.58015135568656,0
0.830495616928946,0.0516568831472835,1.32868636478982,0
0.918898793641053,3.10388673630633,1.27992606151987,0
0.999573777094379,3.00991888585379,1.3725738948302,0
1.17909655825077,2.94564278167117,1.42997163449899,0
1.38831855385257,2.88349006260498,1.42123222774242,0
1.52859743158522,2.79163860266419,1.26347980604359,0
1.54123354420895,2.75498425538187,1.26860245323358,0
1.50989702998312,2.76081688278989,1.27354039408761,0
1.42033322381168,0.0255580996845188,3.74538778197384,0
1.44025117475306,0.0207855054236245,3.41291955421531,0
1.44025117475306,0.0207855054236245,3.41291955421531,0
0.547070600263042,0.234878453434965,1.3132091159778,0
0.573378986514077,0.224119210451514,1.33425118842113,0
0.596919809820518,0.171342448428039,1.39521037432303,0
0.616950570325972,0.156542713713229,1.46319001972441,0
0.635074917880418,0.127435214242603,1.53089342775207,0
0.651690629588693,0.090284596198255,1.58810217430702,0
0.853939629810696,3.0483588988928,1.42238606941994,0
0.939591127487257,3.08018236766976,1.3352702290371,0
1.00530360979902,3.03276084592193,1.42943994063568,0
1.17929435053462,2.96911178646958,1.4376542523813,0
1.38643308313474,2.89824177344777,1.40036956507066,0
1.52375322903043,2.80246210464737,1.24072047313184,0
1.53736856622327,2.74683349813009,1.25266874638591,0
1.50066727309433,2.74062943246695,1.26327880542785,0
1.53850962136377,3.02639019148623,1.94857298598457,0
1.54337548209827,3.01853289540628,1.88751321420217,0
1.54337548209827,3.01853289540628,1.88751321420217,0
1.51155092886807,3.11682919181231,3.06798328232594,0
0.522548413317736,0.477353049206786,1.80593522224992,0
0.550625190746864,0.455885545705128,1.77054791416974,0
0.577404215339384,0.401011475679256,1.78113659419632,0
